IdStation,Name,Address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
2251,446 - C. Deportivo Mpal. Miguel Guillén Prim,"Calle Puerto de Porzuna, 34",21,2,23,Disponible,Disponible,-3.62363,40.373826
2252,"382 -Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2",15,9,24,Poca disponibilidad,Disponible,-3.754582,40.37835
2254,410 - Est. de tren de S. Cristóbal Industrial,Calle transversal sexta (enfrente del colegio Villamadrid),9,15,24,Poca disponibilidad,Disponible,-3.699266,40.332546
2255,319 - Valdesangil,"Calle Valdesangil, 34",12,12,24,Poca disponibilidad,Disponible,-3.716673,40.468422
2256,579 - Maria Tubau - Isabel Colbrand,"Calle María Tubau, 3",20,4,24,Disponible,Disponible,-3.671704,40.513992
2257,602 - Monasterio Sobrado - Monasterio Silos,"Calle del Monasterio de Sobrado, 6",9,15,24,Poca disponibilidad,Disponible,-3.692837,40.509323
2258,600 - Centro Deportivo Municipal La Masó,Calle Ubeda esquina Plaza Virgen de la capilla,1,23,24,Fuera de servicio,Disponible,-3.714957,40.482551
2259,566 - Avenida de Logroño,"Avenida de Logroño, 112",18,6,24,Disponible,Disponible,-3.581503,40.470347
2260,565 - Metro Barajas,"Calle Playa de Riazor, 65",13,11,24,Poca disponibilidad,Disponible,-3.583887,40.475636
2261,467 - Univ. Rey Juan Carlos - Facultad  CJS,"Calle Villardondiego ,32",6,18,24,Fuera de servicio,Disponible,-3.608489,40.406236
2262,469 - C. Deportivo Mpal Faustina Valladolid,"Ladera de los Almendros, 6",14,10,24,Poca disponibilidad,Disponible,-3.62299,40.40343
2263,470 - Avenida Real - Galeote,"Avenida Real, 3",8,10,18,Poca disponibilidad,Disponible,-3.606367,40.402152
2264,471 - Molino Viejo - Minerva,"Calle Molino Viejo frente , 14",0,18,18,Fuera de servicio,Disponible,-3.60666,40.396301
2265,271 - Amaltea-Meneses,"Calle Amaltea, 1",16,8,24,Poca disponibilidad,Disponible,-3.68317,40.394706
2266,466 - Villablanca - Vereda del Pinar,"Calle Villablanca, 7",15,8,23,Poca disponibilidad,Disponible,-3.607833,40.408947
2267,"275 - Juan Antonio Vallejo-Nájera Botas, 25","Paseo Juan Antonio Vallejo-Nájera Botas, 25",8,15,23,Poca disponibilidad,Disponible,-3.708212,40.402054
2268,475 - Aurora Boreal - Minerva,"Avenida de la Aurora Boreal, 19",4,19,23,Fuera de servicio,Disponible,-3.603668,40.399236
2269,274 - Estación Sur Méndez Álvaro A,"Calle Méndez Álvaro, 73",19,4,23,Disponible,Disponible,-3.681343,40.396758
2270,605 - Nuria - Peña Sirio,"Calle Nuria,24",15,9,24,Poca disponibilidad,Disponible,-3.704883,40.491644
2271,522 - Metro Estadio Metropolitano,Avenida Arcentales (frente Estadio Metropolitano),8,16,24,Poca disponibilidad,Disponible,-3.600975,40.433333
2272,521 - Metro Las Rosas,Calle Ginebra (esquina con Suecia),10,14,24,Poca disponibilidad,Disponible,-3.604818,40.423893
2273,508 - Metro Canillejas,Intercambiador de Canillejas,16,8,24,Poca disponibilidad,Disponible,-3.609553,40.449095
2274,80A - Estación de Atocha A,Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),5,18,23,Fuera de servicio,Disponible,-3.690538,40.407573
2275,80B - Estación de Atocha B,Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),20,7,27,Disponible,Disponible,-3.690475,40.407521
2276,447 - Adolfo Bioy Casares - Las Suertes,"Calle Adolfo Bioy Casares, 3",19,8,27,Disponible,Disponible,-3.598193,40.36685
2278,412 - Estación de tren de Puente de Alcocer,"Calle San Jenaro, 1",13,11,24,Poca disponibilidad,Disponible,-3.704308,40.350029
2279,415 - Diamante - Delmira Agustini,"Calle Diamante, 10",7,17,24,Fuera de servicio,Disponible,-3.687753,40.353261
2280,413 - Doctor Martín Arévalo,Calle Doctor Martín Arévalo enfrente del N°16,14,10,24,Poca disponibilidad,Disponible,-3.707413,40.345928
2281,"545 - Zapatoca, 8","Calle Zapatoca, 8",15,8,23,Poca disponibilidad,Disponible,-3.633358,40.472852
2282,567 - Plaza Mayor de Barajas,"Plaza Mayor de Barajas, 24",10,14,24,Poca disponibilidad,Disponible,-3.577654,40.473325
2283,563 - Soto Hidalgo,"Calle soto Hidalgo, 3",26,1,27,Disponible,Disponible,-3.582075,40.460647
2285,281 - Reina Cristina - Julián Gayarre,"Paseo de Reina Cristina, 6",17,6,23,Disponible,Disponible,-3.683186,40.406725
2286,609 - Metro Ronda de la Comunicación,Ronda de la Comunicación,7,16,23,Fuera de servicio,Disponible,-3.662689,40.51572
2287,408 - Metro San Cristóbal,"Calle de Moncada, 102",10,13,23,Poca disponibilidad,Disponible,-3.692444,40.341725
2288,"409 - Eduardo Barreiros, 114","Calle Eduardo Barreiros, 114",9,14,23,Poca disponibilidad,Disponible,-3.704644,40.35535
2289,606 - Fermín Caballero - Sangenjo,"Calle Fermín Caballero, 2",8,15,23,Poca disponibilidad,Disponible,-3.698485,40.487363
2290,349 - Huerta de Castañeda 26,"Calle Huerta de Catañeda, 26",8,16,24,Poca disponibilidad,Disponible,-3.742019,40.406221
2291,544 - Gregorio Sánchez Herráez 14,"calle Gregorio Sánchez Herráez, 14",7,16,23,Fuera de servicio,Disponible,-3.63657,40.477248
2292,551 - Oña,Calle Oña s/n,12,11,23,Poca disponibilidad,Disponible,-3.665856,40.489187
2293,552 - Ana de Austria - Ignacio Aldecoa,"Calle Ana de Austria, 52",5,22,27,Fuera de servicio,Disponible,-3.65315,40.499439
2294,542 - Estación de tren de Valdebebas,Avenida Fuerzas Armadas (Renfe Valdebebas),10,14,24,Poca disponibilidad,Disponible,-3.615718,40.481996
2297,320 - Metro Lago,"Paseo de la Puerta del Ángel, 10",8,11,19,Poca disponibilidad,Disponible,-3.734525,40.416779
2298,608 - Estella - Camino de Santiago,"Calle Estella, 21",19,4,23,Disponible,Disponible,-3.674357,40.49682
2299,278 - Paseo los Pontones - Ps. Melancólicos,"Paseo de los Pontones, 26",2,21,23,Fuera de servicio,Disponible,-3.7196,40.404043
2300,289 - Luis de Salazar - Padre Claret,"Calle luis de Salazar, 16",1,22,23,Fuera de servicio,Disponible,-3.664926,40.447417
2301,547 - Rafaela Aparicio - Maruja Mallo,"Calle Rafaela Aparicio, 1",12,15,27,Poca disponibilidad,Disponible,-3.631218,40.47924
2302,"402 - Berrocal, 9","Calle de Berrocal, 9",2,25,27,Fuera de servicio,Disponible,-3.67615,40.344115
2303,543 - Tomas Redondo,"Calle Tomás Redondo, 9",11,12,23,Poca disponibilidad,Disponible,-3.629138,40.471784
2304,277 - Virgen del Puerto,"Paseo Virgen del Puerto, 27",1,14,15,Fuera de servicio,Disponible,-3.721178,40.411622
2305,272 - Tejo - Parque La Ronda,"Calle del Tejo, 22",18,5,23,Disponible,Disponible,-3.679186,40.39663
2306,282 - Parque Retiro - Puerta Reina Mercedes,"Avenida Menéndez Pelayo enfrente del,33",17,6,23,Disponible,Disponible,-3.67878,40.418133
2307,1 - Metro Sol,"Calle Mayor , 6",16,7,23,Poca disponibilidad,Disponible,-3.70541,40.416465
2308,263 - Gran Vía de San Francisco,"Avenida Gran Vía de San Francisco, 6",8,15,23,Poca disponibilidad,Disponible,-3.712793,40.408339
2309,"559 - Calle Babilonia, 19","Calle Babilonia, 19",18,5,23,Disponible,Disponible,-3.588235,40.46753
2311,581 - Metro Peñagrande,"Camino de Ganapanes, 32-40",6,18,24,Fuera de servicio,Disponible,-3.716309,40.47648
2312,598 - Hospital Ramón y Cajal,"Calle San Modesto, 44",6,18,24,Fuera de servicio,Disponible,-3.69234,40.485801
2313,341 - Escalona - Seseña,"Calle Escalona, 2",0,27,27,Fuera de servicio,Disponible,-3.761823,40.398346
2314,346 - Metro Empalme,"Calle de Tembleque, 31",4,20,24,Fuera de servicio,Disponible,-3.766484,40.390744
2315,347 - Est. tren Mtra Justa Freire-Poli Aluche,"Avenida de las Aguilas, 27",16,8,24,Poca disponibilidad,Disponible,-3.768603,40.383554
2316,528 - Albelda - Torrelaguna,"Calle Albelda, 6",24,0,24,Disponible,Disponible,-3.657367,40.449422
2317,312 - Metro Batán,"Paseo de la Venta, 1",17,10,27,Poca disponibilidad,Disponible,-3.752856,40.40775
