tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
2200PeatonBici,16,59070,2262,15/03/2017,-3.65750093893459,40.49967323667570
3100Bici,6,59093,111,12/09/2023,-3.69064238008815,40.45646781404220
3100Bici,6,59103,108,12/09/2023,-3.69008845947363,40.46205614436020
3200Bici,8,59116,988,,-3.71222406076442,40.48018992030340
2200PeatonBici,8,59119,988,,-3.71232919692226,40.48013943664150
3200Bici,8,59121,1083,04/05/2020,-3.70575407621556,40.4814880945849
3200Bici,8,59122,1083,04/05/2020,-3.70566102342512,40.48154395594930
3200Bici,8,59124,1083,04/05/2020,-3.70446226733417,40.4817727669146
3200Bici,8,59125,1083,04/05/2020,-3.70438116468298,40.48183838973160
2200PeatonBici,11,59141,2193,,-3.75004630438251,40.36255833298470
2200PeatonBici,11,59144,2194,,-3.74597357815743,40.36344181574500
3200Bici,8,59151,1172,11/05/2020,-3.69951880216315,40.48358829963030
3200Bici,8,59152,1172,11/05/2020,-3.69960703319989,40.48352425053400
2200PeatonBici,8,59153,1172,11/05/2020,-3.69954956861792,40.4835553842572
2200PeatonBici,8,59154,1172,11/05/2020,-3.69955335225003,40.48355983174540
2200PeatonBici,17,59189,1765,,-3.69299925250544,40.34554617834830
2200PeatonBici,17,59190,1765,,-3.69293885228844,40.34554318087880
3200Bici,17,59194,1765,,-3.69353252186133,40.34566864066560
3200Bici,17,59200,1765,,-3.69237209225494,40.34586475256730
2200PeatonBici,17,59204,1764,,-3.70501812359401,40.3412906097259
2200PeatonBici,17,59206,1764,,-3.70500958314537,40.34095662379660
2200PeatonBici,17,59210,1766,,-3.70673981796633,40.34094113064160
2200PeatonBici,17,59214,1766,,-3.70654892868319,40.34087319898150
3200Bici,17,59215,1778,,-3.68356328632415,40.35455414308900
3200Bici,17,59216,2222,,-3.68128960911996,40.356776718406
2200PeatonBici,16,59339,4792,27/10/2023,-3.62389310736011,40.4957323357619
2200PeatonBici,16,59340,4792,27/10/2023,-3.6237959322857,40.49573251844820
2200PeatonBici,16,59341,4792,27/10/2023,-3.62375070480701,40.49573276256230
2200PeatonBici,16,59344,4792,27/10/2023,-3.62365263730178,40.49573329181820
2200PeatonBici,16,59365,4792,27/10/2023,-3.62364798277448,40.49527896730880
2200PeatonBici,16,59366,4792,27/10/2023,-3.62374694520592,40.49527843322800
2200PeatonBici,16,59369,4792,27/10/2023,-3.62379351576098,40.49527818186660
2200PeatonBici,16,59370,4792,27/10/2023,-3.62388934679856,40.49527800643930
2200PeatonBici,16,59430,4790,27/10/2023,-3.62005624256293,40.49573239704360
2200PeatonBici,16,59448,4790,27/10/2023,-3.61990879088638,40.49531037937760
2200PeatonBici,16,59489,4788,27/10/2023,-3.61653709825638,40.49567282178780
2200PeatonBici,16,59490,4788,27/10/2023,-3.61653543228827,40.49560678580440
2200PeatonBici,16,59491,4788,27/10/2023,-3.6165361784901,40.49557234124640
2200PeatonBici,16,59498,4788,27/10/2023,-3.61653567039539,40.49551683384970
2200PeatonBici,16,59499,4788,27/10/2023,-3.61653534773744,40.49548158462680
2200PeatonBici,16,59504,4788,27/10/2023,-3.6165352479784,40.49541270400290
2200PeatonBici,16,59515,4788,27/10/2023,-3.61583152382542,40.49541767165720
2200PeatonBici,16,59516,4788,27/10/2023,-3.6158326806024,40.49548614146720
2200PeatonBici,16,59519,4788,27/10/2023,-3.61583299918819,40.49552098553130
2200PeatonBici,16,59520,4788,27/10/2023,-3.61583297227769,40.49557609059970
2200PeatonBici,16,59521,4788,27/10/2023,-3.61583382158664,40.49561093183520
2200PeatonBici,16,59526,4788,27/10/2023,-3.61583287029965,40.49568103360930
2200PeatonBici,16,59549,4786,27/10/2023,-3.61246761644843,40.49558870737170
2200PeatonBici,16,59570,4786,27/10/2023,-3.61239388508248,40.49509720553700
2200PeatonBici,16,59611,4784,27/10/2023,-3.60901637908068,40.4950548837876
2200PeatonBici,16,59612,4784,27/10/2023,-3.60901684704224,40.49498924161220
2200PeatonBici,16,59613,4784,27/10/2023,-3.60901599394408,40.49495358996910
2200PeatonBici,16,59616,4784,27/10/2023,-3.60901494302353,40.49489605946470
2200PeatonBici,16,59617,4784,27/10/2023,-3.60901515868847,40.49486121255570
2200PeatonBici,16,59622,4784,27/10/2023,-3.60901348180698,40.49479315058040
2200PeatonBici,16,59629,4784,27/10/2023,-3.60833225117704,40.49458482753730
2200PeatonBici,16,59630,4784,27/10/2023,-3.60842884856237,40.49458512939270
2200PeatonBici,16,59631,4784,27/10/2023,-3.60847395930702,40.49458489189140
2200PeatonBici,16,59636,4784,27/10/2023,-3.60854612917628,40.4945837015244
2200PeatonBici,16,59637,4784,27/10/2023,-3.60860663796465,40.49458419325610
2200PeatonBici,16,59638,4784,27/10/2023,-3.60869898963053,40.49458451724430
2200PeatonBici,16,59768,4778,27/10/2023,-3.60863953199326,40.48787495898260
2200PeatonBici,16,59770,4778,27/10/2023,-3.60854434487129,40.48787449979010
2200PeatonBici,16,59773,4778,27/10/2023,-3.60846174507271,40.48787493468680
2200PeatonBici,16,59774,4778,27/10/2023,-3.60840723180857,40.48787458138190
2200PeatonBici,16,59779,4778,27/10/2023,-3.60836153805309,40.48787578235330
2200PeatonBici,16,59780,4778,27/10/2023,-3.60827473380548,40.48787495866670
2200PeatonBici,16,59795,4778,27/10/2023,-3.6086331003631,40.48730225288730
2200PeatonBici,16,59796,4778,27/10/2023,-3.60854085771808,40.48730273862010
2200PeatonBici,16,59799,4778,27/10/2023,-3.608456173761,40.4873044650667
2200PeatonBici,16,59800,4778,27/10/2023,-3.60840123878287,40.4873037938329
2200PeatonBici,16,59801,4778,27/10/2023,-3.60835470973531,40.48730531934340
2200PeatonBici,16,59806,4778,27/10/2023,-3.60826582135968,40.48730578720030
2200PeatonBici,21,59888,4828,27/10/2023,-3.6171908316264,40.48259927416710
2200PeatonBici,21,59889,4828,27/10/2023,-3.61718971452884,40.48252308550160
3200Bici,21,59895,4828,27/10/2023,-3.61684865267313,40.4825021759773
3200Bici,21,59899,4828,27/10/2023,-3.61697451991417,40.48246564783670
2200PeatonBici,21,59955,4831,27/10/2023,-3.6145310345602,40.482148916037
2200PeatonBici,21,59956,4831,27/10/2023,-3.61453161146224,40.48216620082950
2200PeatonBici,21,59957,4831,27/10/2023,-3.6145336154503,40.48220204647620
2200PeatonBici,21,59958,4831,27/10/2023,-3.61453297661707,40.48226992072990
2200PeatonBici,21,59959,4831,27/10/2023,-3.61453497185121,40.48230480598580
2200PeatonBici,21,59960,4831,27/10/2023,-3.61453645264361,40.4823752301324
2200PeatonBici,21,59961,4831,27/10/2023,-3.61453468043773,40.48241077571070
2200PeatonBici,21,59962,4831,27/10/2023,-3.61453649466922,40.48242581290460
2200PeatonBici,21,59983,4829,27/10/2023,-3.60943704494794,40.48198252108410
2200PeatonBici,21,59985,4829,27/10/2023,-3.60943820827364,40.48206479237210
3200Bici,21,59989,4829,27/10/2023,-3.60976331692321,40.48208388707120
3200Bici,21,59990,4829,27/10/2023,-3.6096581548426,40.48213854644940
3200Bici,8,60052,1172,11/05/2020,-3.69906705372972,40.48343768495020
3100Bici,8,60127,1172,22/02/2024,-3.69951839618107,40.48357549633890
2200PeatonBici,9,60231,748,29/08/2024,-3.71569547153613,40.42253891212040
3200Bici,9,60232,748,29/08/2024,-3.71568005037785,40.42256460910000
3100Bici,8,60243,1083,24/09/2024,-3.70443772769644,40.48179478358630
2200PeatonBici,4,60313,270,28/10/2024,-3.68743778742681,40.42651827849290
2200PeatonBici,18,60554,4805,02/01/2025,-3.65468651840893,40.36718900465020
2200PeatonBici,18,60555,4805,02/01/2025,-3.65466861308699,40.36713528075960
2200PeatonBici,18,60556,4805,02/01/2025,-3.65459073962626,40.36700147505090
2200PeatonBici,18,60557,4805,02/01/2025,-3.65458615633286,40.36695559121860
3200Bici,2,60527,4834,19/12/2024,-3.72223366226358,40.40370221158140
3200Bici,2,60532,4834,19/12/2024,-3.72222369647404,40.40371237140760
2200PeatonBici,16,61021,4825,10/04/2025,-3.61326450046541,40.48779397523170
2200PeatonBici,16,61022,4825,10/04/2025,-3.61324912469812,40.48778566987220
2200PeatonBici,16,61025,4825,10/04/2025,-3.61308627636427,40.48769517604210
2200PeatonBici,16,61026,4825,10/04/2025,-3.61301135379837,40.48765303966030
2200PeatonBici,16,61029,4825,10/04/2025,-3.61297271567398,40.48763197769270
2200PeatonBici,16,61032,4825,10/04/2025,-3.61289385670614,40.48758836444250
2200PeatonBici,16,61034,4825,10/04/2025,-3.61283589010334,40.48755572310830
2200PeatonBici,16,61035,4825,10/04/2025,-3.61281853391381,40.48754533145540
2200PeatonBici,16,61039,4825,10/04/2025,-3.61242240278111,40.48772924827610
2200PeatonBici,16,61040,4825,10/04/2025,-3.61231125235529,40.48784485820100
2200PeatonBici,16,61050,4825,10/04/2025,-3.61270256442871,40.48838194520130
2200PeatonBici,16,61051,4825,10/04/2025,-3.61268639310614,40.48837244585030
2200PeatonBici,16,61055,4825,10/04/2025,-3.61252709381592,40.48828402916450
