anyo;trimestre;barrio;num_viviendas;metros_2;dormitorios;banyos;renta_min;renta_media;renta_max;euros_m2;desv_tipica
2012;3;San Antón;8;81;2,3;1,5;340;499;600;6,4;73
2012;3;San Blas;74;101;3,1;1,8;320;518;800;5,4;103
2012;3;San Gabriel;17;104;2,6;1,8;420;585;800;5,7;121
2012;3;Santa Faz;2;100;3;1,5;450;463;475;4,6;13
2012;3;Sidi Ifni - Nou Alacant;5;103;2,8;1,6;360;492;650;4,8;113
2012;3;Tómbola;4;101;3;1,8;395;481;580;4,8;68
2012;3;Urbanova;3;67;1,7;1,3;400;467;500;7;47
2012;3;Villafranqueza;5;90;2,2;1,6;350;400;500;5;52
2012;3;Virgen del Remedio;20;91;3;1,1;270;329;370;3,7;28
2012;3;Vistahermosa;2;123;2,5;2;680;740;800;6,2;60
2012;4;Alipark;12;101;3,6;1,8;360;493;650;4,9;100
2012;4;Altozano;26;106;3,2;1,5;320;456;550;4,7;62
2012;4;Benalúa;45;89;2,8;1,5;250;468;800;5,4;109
2012;4;Benisaudet;3;85;2;1,7;400;467;500;6;47
2012;4;Cabo de las Huertas;24;116;2,5;1,8;300;653;1400;6;253
2012;4;Campoamor;34;96;2,9;1,5;320;464;550;5;55
2012;4;Carolinas Altas;25;80;2,5;1,2;300;404;550;5,2;57
2012;4;Carolinas Bajas;18;75;2,4;1,4;300;430;560;6;80
2012;4;Casco Antiguo - Sta. Cruz;16;68;1,8;1,1;325;502;700;8;88
2012;4;Centro;117;96;2,6;1,6;300;543;950;6,2;138
2012;4;Centro Histórico - Tradicional;23;84;2,4;1,5;350;497;700;6,6;87
2012;4;Ciudad de Asís;5;111;2,6;1,4;350;445;525;4,5;64
2012;4;Florida Alta;16;89;2,8;1,6;310;413;550;4,9;66
2012;4;Florida Baja;13;88;3;1,5;350;460;580;5,4;67
2012;4;Garbinet;3;71;2;1,3;300;450;550;6,5;108
2012;4;Gran Vía - Parque Avenidas;32;115;2,8;1,9;450;590;800;5,6;89
2012;4;Juan XXIII 1er sector;3;85;3;1,3;380;410;450;5,1;29
2012;4;Juan XXIII 2do Sector;2;103;2,5;1,5;300;400;500;3,8;100
2012;4;La Albufereta;42;80;2,1;1,3;300;508;700;6,6;98
