SISTEMA,NOMBRE,NombreURL,LINEA,EST,CVE_EST,TIPO,TipoURL,ALCALDIAS,AlcaldiasURL,AÑO
STC Metro,Pantitlán,pantitlan,01,01,STC0101,Terminal / Transbordo,terminal_transbordo,Venustiano Carranza,venustianocarranza,1984
STC Metro,Zaragoza,zaragoza,01,02,STC0102,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1969
STC Metro,Gomez Farías,gomezfarias,01,03,STC0103,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1969
STC Metro,Boulevard Puerto Aéreo,boulevardpuertoaereo,01,04,STC0104,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1969
STC Metro,Balbuena,balbuena,01,05,STC0105,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1969
STC Metro,Moctezuma,moctezuma,01,06,STC0106,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1969
STC Metro,San Lázaro,sanlazaro,01,07,STC0107,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1969
STC Metro,Candelaria,candelaria,01,08,STC0108,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1969
STC Metro,Merced,merced,01,09,STC0109,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1969
STC Metro,Pino Suárez,pinosuarez,01,10,STC0110,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Isabel La Católica,isabellacatolica,01,11,STC0111,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Salto del Agua,saltodelagua,01,12,STC0112,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Balderas,balderas,01,13,STC0113,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Cuauhtémoc,cuauhtemoc,01,14,STC0114,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Insurgentes,insurgentes,01,15,STC0115,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Sevilla,sevilla,01,16,STC0116,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1969
STC Metro,Chapultepec,chapultepec,01,17,STC0117,Intermedia,intermedia,Cuauhtémoc / Miguel Hidalgo,cuauhtemoc_miguelhidalgo,1969
STC Metro,Juanacatlán,juanacatlan,01,18,STC0118,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,Tacubaya,tacubaya,01,19,STC0119,Intermedia / Transbordo,intermedia_transbordo,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,Observatorio,observatorio,01,20,STC0120,Terminal,terminal,Álvaro Obregón,alvaroobregon,1972
STC Metro,Cuatro Caminos,cuatrocaminos,02,01,STC0201,Terminal,terminal,Estado de México - Naucalpan de Juárez,estadodemexico_naucalpandejuarez,1984
STC Metro,Panteones,panteones,02,02,STC0202,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1984
STC Metro,Tacuba,tacuba,02,03,STC0203,Intermedia / Transbordo,intermedia_transbordo,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,Cuitláhuac,cuitlahuac,02,04,STC0204,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,Popotla,popotla,02,05,STC0205,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,Colegio Militar,colegiomilitar,02,06,STC0206,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,Normal,normal,02,07,STC0207,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1970
STC Metro,San Cosme,sancosme,02,08,STC0208,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Revolución,revolucion,02,09,STC0209,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Hidalgo,hidalgo,02,10,STC0210,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Bellas Artes,bellasartes,02,11,STC0211,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Allende,allende,02,12,STC0212,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
