ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO
530103,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,446613.013,4481268.39,ETRS89,40.48038881,-3.62986956,CALLE,LAVANDA,48 B,28055,c. de mayores las carcavas,31006612,,FUE_16_0043,FUE25,ZV,PERSONAS,MU-37A
530105,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,FUERA_DE_SERVICIO,443879.084,4482110.8,ETRS89,40.48779733,-3.66219754,CALLE,OÑA,133,28050,"próximo a avda. manoteras, 50",11122436,,FUE_16_0027,FUE25,ZV,PERSONAS,PIEDRA VP
530107,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,443901.508,4479935.184,ETRS89,40.46819991,-3.6617405,CALLE,AÑASTRO,48,28033,bulevar  c/ añastro,11117864,,FUE_16_0032,FUE25,ZV,PERSONAS,MU-S37A
530109,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,444047.706,4480093.477,ETRS89,40.46963575,-3.66003001,CALLE,AÑASTRO,76,28033,en bulevar,11117878,,FUE_16_0031,FUE25,ZV,PERSONAS,MU-S37A
530112,Fuentes de beber,162,PIOVERA,16,HORTALEZA,OPERATIVO,447266.825,4478809.72,ETRS89,40.45828156,-3.62195183,CALLE,FLORENCIO CASTILLO,31,28043,parque los llanos,20055061,,FUE_16_0053,FUE25,ZV,PERSONAS,MU-S37A
530114,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445922.504,4480655.045,ETRS89,40.47481881,-3.63796353,AVENIDA,CELIO VILLALBA,14,28033,"próximo a c/ usiacuri, 10",11118898,,FUE_16_0012,FUE25,ZV,PERSONAS,MU-37A
530116,Fuentes de beber,163,CANILLAS,16,HORTALEZA,OPERATIVO,446698.74,4479415.6,ETRS89,40.46370341,-3.6287025,CALLE,RAMON POWER,42,28043,talud ramon power,20054674,,FUE_16_0059,FUE25,ZV,PERSONAS,MU-37A
530118,Fuentes de beber,163,CANILLAS,16,HORTALEZA,OPERATIVO,446410.406,4479965.93,ETRS89,40.46864253,-3.63214976,CALLE,ACONCAGUA,2,28043,'parque de villa rosa paco caño,31017761,,FUE_16_0009,FUE25,ZV,PERSONAS,MU-37A
530121,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445954.649,4480146.464,ETRS89,40.47023934,-3.637541,CALLE,MAR ADRIATICO,2,28033,parque san lorenzo,20076200,,FUE_16_0020,FUE25,ZV,PERSONAS,MU-S37A
530257,Fuentes de beber,208,EL SALVADOR,20,SAN BLAS-CANILLEJAS,OPERATIVO,445928.120,4477489.300,ETRS89,40.44630048,-3.63762758,CALLE,BELICE,3,28027,"frente nº 28 y farola 3, en parque junto area infantil",20144651,,FUE_20_0042,FUE25,ZV,PERSONAS,MU-37A
530258,Fuentes de beber,208,EL SALVADOR,20,SAN BLAS-CANILLEJAS,OPERATIVO,446223.34,4476819.77,ETRS89,40.44028813,-3.6340898,CALLE,RIOBAMBA,13,28027,"c/v c/ venturada, en parque junto area infantil",20109449,,FUE_20_0044,FUE25,ZV,PERSONAS,MU-37A
530259,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448397.54,4475832.4,ETRS89,40.43153106,-3.60837466,AVENIDA,NIZA,55,28022,"en jardin interbloques, junto areas infantiles",20096823,,FUE_20_0049,FUE25,ZV,PERSONAS,MU-37A
530262,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448241.24,4474966.28,ETRS89,40.4237188,-3.61014676,AVENIDA,GUADALAJARA,113,28022,"parque entre avda guadalajara y  c/ rusia, junto area infantil",31046990,,FUE_20_0051,FUE25,ZV,PERSONAS,MU-37A
530264,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448193.07,4475748.8,ETRS89,40.43076523,-3.61077834,CALLE,AINSA,11,28022,"parque entre portal 9 y 13, junto area infantil",20113344,,FUE_20_0053,FUE25,ZV,PERSONAS,MU-37A
530265,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448482.47,4476155.21,ETRS89,40.4344444,-3.60739958,PLAZA,GRECIA,2,28022,"proximo a farola 3, junto area infantil",20097006,2023-03-15 00:00:00.0,FUE_20_0054,FUE25,ZV,PERSONAS,MU-37A
530267,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,FUERA_DE_SERVICIO,448331.82,4475191.04,ETRS89,40.42574921,-3.6090973,CALLE,BUTRON,17,28022,"junto area infantil, en parque del butron",11136369,,FUE_20_0056,FUE25,ZV,PERSONAS,MU-37A
530268,Fuentes de beber,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448097.39,4475362.48,ETRS89,40.42727906,-3.61187476,CALLE,ARCOS DE JALON,124,28037,"entre farolas 97 y 98 de c/ pobladura del valle, junto area infantil en parque",31025074,,FUE_20_0057,FUE25,ZV,PERSONAS,MU-37A
530269,Fuentes de beber,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,446940.574,4474799.173,ETRS89,40.42213147,-3.62546458,CALLE,ARCOS DE JALON,1,28037,"proximo a  farola 2, junto areas infantiles",11135539,,FUE_20_0061,FUE25,ZV,PERSONAS,MU-S37A
530270,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,449016.96,4474807.01,ETRS89,40.42233189,-3.60099007,CALLE,SOFIA,177 F,28022,"entre farolas 61 y 63, junto anillo verde ciclista",20147883,,FUE_20_0058,FUE25,ZV,PERSONAS,MU-37A
530125,Fuentes de beber,162,PIOVERA,16,HORTALEZA,OPERATIVO,446188.02,4479213.53,ETRS89,40.46185014,-3.6347091,AVENIDA,MACHUPICHU,56,28043,parque los llanos,20065650,,FUE_16_0047,FUE25,ZV,PERSONAS,MU-37A
530127,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445138.422,4480439.0,ETRS89,40.47282114,-3.64719427,CALLE,VALDETORRES DE JARAMA,1,28043,parque isabel clara eugenia. recinto cerrado/vallado,20039992,,FUE_16_0029,FUE25,ZV,PERSONAS,MU-37A
530129,Fuentes de beber,162,PIOVERA,16,HORTALEZA,OPERATIVO,446652.318,4479165.99,ETRS89,40.46145181,-3.62922905,CALLE,DIONISIO INCA YUPANQUI,43,28043,parque los llanos,20055285,,FUE_16_0051,FUE25,ZV,PERSONAS,MU-37A
