_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
33,35701,MENDEZ ALVARO,"40,395735","-3,677847","CALLE PEDRO BOSCH, S/N",28045,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35701.pdf,""
34,18002,MADRID-NUEVOS MINISTERIOS,"40,446612","-3,692207","CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 69",28046,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion18002.pdf,""
35,35600,ALUCHE,"40,385738","-3,760807","AVENIDA DE LOS POBLADOS, S/N",28047,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35600.pdf,""
36,35608,LAGUNA,"40,399006","-3,744225","CALLE ALHAMBRA, S/N",28047,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35608.pdf,""
37,17003,EL GOLOSO,"40,558808","-3,713966","CARRETERA COLMENAR VIEJO, KM 18",28049,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17003.pdf,""
38,17009,UNIVERSIDAD-CANTOBLANCO,"40,543818","-3,700217","CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL, S/N",28049,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17009.pdf,""
39,19001,UNIVERSIDAD PONTIFICIA DE COMILLAS,"40,55412","-3,683267","CARRETERA M-616 - ESTACION FERROCARRIL, S/N",28049,Alcobendas,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion19001.pdf,""
40,98003,FUENTE DE LA MORA,"40,484729","-3,662833","CALLE DULCE CHACON, S/N",28050,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion98003.pdf,""
41,70100,VICALVARO,"40,401043","-3,5952733","CALLE SAN CIPRIANO, 85",28052,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70100.pdf,""
42,98304,VALDEBEBAS,"40,48207","-3,616414","AVENIDA DE LAS FUERZAS ARMADAS, S/N",28055,Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion98304.pdf,""
43,19002,VALDELASFUENTES,"40,547425","-3,654149","CALLE MARQUES DE LA VALDAVIA, S/N",28100,Alcobendas,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion19002.pdf,""
44,19003,ALCOBENDAS SAN SEBASTIAN DE LOS REYES,"40,546744","-3,635149","AVENIDA DE ESPAÑA, 52",28100,San Sebastián de los Reyes,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion19003.pdf,""
45,10007,MAJADAHONDA,"40,474347","-3,845334","CARRETERA DEL PLANTIO, S/N",28221,Majadahonda,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10007.pdf,""
46,10002,POZUELO,"40,447225","-3,800145","CALLE ANTONIO DIAZ, 1",28224,Pozuelo de Alarcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10002.pdf,""
47,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,"40,465299","-3,807828","CALLE RAFAEL BOTI, 62",28224,Pozuelo de Alarcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10010.pdf,""
