id,location_name_rdf,parameter,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-03T13:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T14:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T15:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-03T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T16:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T17:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-03T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T18:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T19:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T20:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-03T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T21:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-03T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T22:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T23:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-03T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T00:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T01:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T02:00:00Z_co,PlazaDelCarmen,co,500,µg/m³,2025-10-04T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T03:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T04:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T05:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T06:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T07:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T08:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T09:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T10:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T11:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T12:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-04T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T13:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T14:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T15:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T16:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-04T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T17:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T18:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T19:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T20:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-04T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T00:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-05T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T01:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T02:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T03:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-05T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T04:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T05:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T06:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T07:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T08:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T09:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T10:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T11:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T12:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T13:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T14:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T15:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T16:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T19:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-05T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T20:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-05T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T22:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-05T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T23:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-05T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T01:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-06T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T02:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-06T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T03:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-06T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T07:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-06T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T09:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-06T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T11:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-06T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T13:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-06T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T14:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-06T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T15:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-06T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T18:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-06T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-06T20:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-06T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T01:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-07T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T03:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-07T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T05:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-07T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T10:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-07T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T11:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-07T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T12:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-07T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T13:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-07T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T14:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-07T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T15:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-07T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T16:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-07T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T17:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-07T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T18:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-07T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T19:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-07T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T20:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-07T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T21:00:00Z_co,PlazaDelCarmen,co,500,µg/m³,2025-10-07T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T22:00:00Z_co,PlazaDelCarmen,co,500,µg/m³,2025-10-07T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-07T23:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-07T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T00:00:00Z_co,PlazaDelCarmen,co,600,µg/m³,2025-10-08T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T01:00:00Z_co,PlazaDelCarmen,co,800,µg/m³,2025-10-08T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T02:00:00Z_co,PlazaDelCarmen,co,500,µg/m³,2025-10-08T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T03:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T04:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T05:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T06:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-08T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T07:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T08:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T09:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T10:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T11:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T12:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T13:00:00Z_co,PlazaDelCarmen,co,400,µg/m³,2025-10-08T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T14:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T15:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-08T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T17:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-08T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T18:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-08T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T19:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T20:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T21:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-08T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T22:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-08T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-08T23:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-08T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T00:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T01:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T02:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T03:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T04:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T05:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T06:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T07:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T08:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T09:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T10:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T11:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T12:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T13:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T14:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T15:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T16:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T17:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T18:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T19:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T20:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-09T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T22:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-09T23:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-09T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T00:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T01:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T02:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T03:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T04:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T05:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T06:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T07:00:00Z_co,PlazaDelCarmen,co,200,µg/m³,2025-10-10T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T08:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-10T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-10T09:00:00Z_co,PlazaDelCarmen,co,300,µg/m³,2025-10-10T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
